"category","name","rel_path","dir","size_kb","modified"
"iterative_logs","TEST_STATUS_SUMMARY.md","docs\_archive\old-tests\TEST_STATUS_SUMMARY.md","docs\_archive\old-tests","4.92","2026-01-31T20:29:41"
"iterative_logs","V1_HARDENING_TEST_FIXES.md","docs\_archive\old-tests\V1_HARDENING_TEST_FIXES.md","docs\_archive\old-tests","1.98","2025-12-21T00:53:32"
"iterative_logs","WORKER_DRY_RUN_FINAL_STATUS.md","docs\_archive\old-tests\WORKER_DRY_RUN_FINAL_STATUS.md","docs\_archive\old-tests","2.24","2026-01-31T20:29:41"
"iterative_logs","WORKER_TEST_PROGRESS.md","docs\_archive\old-tests\WORKER_TEST_PROGRESS.md","docs\_archive\old-tests","0.53","2025-12-21T00:53:32"
"iterative_logs","API_DOCUMENTATION_FINAL_STATUS.md","docs\active\API_DOCUMENTATION_FINAL_STATUS.md","docs\active","5.74","2026-01-31T20:29:41"
"iterative_logs","API_DOCUMENTATION_STATUS.md","docs\active\API_DOCUMENTATION_STATUS.md","docs\active","5.15","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_AUTH_FIX.md","docs\active\FRONTEND_AUTH_FIX.md","docs\active","0","2026-01-31T20:29:41"
"iterative_logs","GAMIFICATION_SYSTEM_COMPLETE.md","docs\admin\GAMIFICATION_SYSTEM_COMPLETE.md","docs\admin","14.33","2026-01-09T16:07:53"
"iterative_logs","AI_ASSISTANT_SETUP_STATUS.md","docs\ai-assistant\AI_ASSISTANT_SETUP_STATUS.md","docs\ai-assistant","5.69","2026-01-31T20:29:41"
"iterative_logs","ALL_ENDPOINTS_COMPLETE.md","docs\architecture\ALL_ENDPOINTS_COMPLETE.md","docs\architecture","7.21","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_API_ENDPOINTS.md","docs\architecture\COMPLETE_API_ENDPOINTS.md","docs\architecture","9.69","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_FRONTEND_COMPONENTS_GUIDE.md","docs\architecture\COMPLETE_FRONTEND_COMPONENTS_GUIDE.md","docs\architecture","17.8","2026-01-31T20:29:41"
"iterative_logs","7_DAY_PROGRESSIVE_PLAN.md","docs\archive\7_DAY_PROGRESSIVE_PLAN.md","docs\archive","9.53","2026-01-31T20:29:41"
"iterative_logs","ADMIN_SYSTEM_COMPLETE.md","docs\archive\ADMIN_SYSTEM_COMPLETE.md","docs\archive","10.93","2026-01-31T20:29:41"
"iterative_logs","ALL_RECOMMENDATIONS_COMPLETE.md","docs\archive\ALL_RECOMMENDATIONS_COMPLETE.md","docs\archive","1.65","2026-01-31T20:29:41"
"iterative_logs","ALL_TODOS_COMPLETE.md","docs\archive\ALL_TODOS_COMPLETE.md","docs\archive","4.73","2026-01-31T20:29:41"
"iterative_logs","AUDIT_FIXES.md","docs\archive\AUDIT_FIXES.md","docs\archive","6.08","2026-01-31T20:29:41"
"iterative_logs","BUILD_COMPLETE_SUMMARY.md","docs\archive\BUILD_COMPLETE_SUMMARY.md","docs\archive","7.68","2026-01-31T20:29:41"
"iterative_logs","BUILD_PROGRESS.md","docs\archive\BUILD_PROGRESS.md","docs\archive","3.32","2026-01-31T20:29:41"
"iterative_logs","CLEANER_PAGES_COMPLETE.md","docs\archive\CLEANER_PAGES_COMPLETE.md","docs\archive","2.58","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_ALL_MISSING_ITEMS_PLAN.md","docs\archive\COMPLETE_ALL_MISSING_ITEMS_PLAN.md","docs\archive","2.51","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_BUILD_PLAN.md","docs\archive\COMPLETE_BUILD_PLAN.md","docs\archive","29.61","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_EXECUTION_REPORT.md","docs\archive\COMPLETE_EXECUTION_REPORT.md","docs\archive","6.84","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_IMPLEMENTATION_REPORT.md","docs\archive\COMPLETE_IMPLEMENTATION_REPORT.md","docs\archive","5.96","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_IMPLEMENTATION_STATUS.md","docs\archive\COMPLETE_IMPLEMENTATION_STATUS.md","docs\archive","2.71","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_IMPLEMENTATION_SUMMARY.md","docs\archive\COMPLETE_IMPLEMENTATION_SUMMARY.md","docs\archive","21.49","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_MISSING_ITEMS_PLAN.md","docs\archive\COMPLETE_MISSING_ITEMS_PLAN.md","docs\archive","3.71","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_ROLLOUT_PLAN_V1.md","docs\archive\COMPLETE_ROLLOUT_PLAN_V1.md","docs\archive","86.25","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_ROLLOUT_PLAN_V2.md","docs\archive\COMPLETE_ROLLOUT_PLAN_V2.md","docs\archive","31.32","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_ROLLOUT_PLAN_V3_V4_FULL.md","docs\archive\COMPLETE_ROLLOUT_PLAN_V3_V4_FULL.md","docs\archive","26.74","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_TESTING_GUIDES_SUMMARY.md","docs\archive\COMPLETE_TESTING_GUIDES_SUMMARY.md","docs\archive","10.39","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_TODOS_SUMMARY.md","docs\archive\COMPLETE_TODOS_SUMMARY.md","docs\archive","3.48","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_V1_SETUP_SCRIPT.md","docs\archive\COMPLETE_V1_SETUP_SCRIPT.md","docs\archive","12.24","2026-01-31T20:29:41"
"iterative_logs","COMPREHENSIVE_FRONTEND_FIX_STATUS.md","docs\archive\COMPREHENSIVE_FRONTEND_FIX_STATUS.md","docs\archive","7.76","2026-01-31T20:29:41"
"iterative_logs","CURRENT_PROGRESS_SUMMARY.md","docs\archive\CURRENT_PROGRESS_SUMMARY.md","docs\archive","3.51","2026-01-31T20:29:41"
"iterative_logs","DAY_1_SCRIPT.md","docs\archive\DAY_1_SCRIPT.md","docs\archive","29.33","2026-01-31T20:29:41"
"iterative_logs","ENDPOINT_CONNECTION_STATUS.md","docs\archive\ENDPOINT_CONNECTION_STATUS.md","docs\archive","1.45","2026-01-31T20:29:41"
"iterative_logs","FINAL_COMPLETION_SUMMARY.md","docs\archive\FINAL_COMPLETION_SUMMARY.md","docs\archive","4.1","2026-01-31T20:29:41"
"iterative_logs","FINAL_COMPREHENSIVE_STATUS.md","docs\archive\FINAL_COMPREHENSIVE_STATUS.md","docs\archive","3.58","2026-01-31T20:29:41"
"iterative_logs","FINAL_FRONTEND_FIX_SUMMARY.md","docs\archive\FINAL_FRONTEND_FIX_SUMMARY.md","docs\archive","5.16","2026-01-31T20:29:41"
"iterative_logs","FINAL_IMPLEMENTATION_STATUS.md","docs\archive\FINAL_IMPLEMENTATION_STATUS.md","docs\archive","3.77","2026-01-31T20:29:41"
"iterative_logs","FINAL_IMPLEMENTATION_SUMMARY.md","docs\archive\FINAL_IMPLEMENTATION_SUMMARY.md","docs\archive","6.26","2026-01-31T20:29:41"
"iterative_logs","FINAL_IMPROVEMENTS_COMPLETE.md","docs\archive\FINAL_IMPROVEMENTS_COMPLETE.md","docs\archive","7.44","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_COMPLETE_IMPLEMENTATION_STATUS.md","docs\archive\FRONTEND_COMPLETE_IMPLEMENTATION_STATUS.md","docs\archive","4.95","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_COMPLETE_OUTLINE.md","docs\archive\FRONTEND_COMPLETE_OUTLINE.md","docs\archive","20.69","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_FIX_COMPLETE_STATUS.md","docs\archive\FRONTEND_FIX_COMPLETE_STATUS.md","docs\archive","3.83","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_FIX_IMPLEMENTATION_PLAN.md","docs\archive\FRONTEND_FIX_IMPLEMENTATION_PLAN.md","docs\archive","7.38","2026-01-31T20:29:41"
"iterative_logs","FRONTEND_FIX_PROGRESS.md","docs\archive\FRONTEND_FIX_PROGRESS.md","docs\archive","4.82","2026-01-31T20:29:41"
"iterative_logs","GAPS_IMPLEMENTATION_PROGRESS.md","docs\archive\GAPS_IMPLEMENTATION_PROGRESS.md","docs\archive","5.77","2026-01-31T20:29:41"
"iterative_logs","IMPLEMENTATION_COMPLETE_SUMMARY.md","docs\archive\IMPLEMENTATION_COMPLETE_SUMMARY.md","docs\archive","5.67","2026-01-23T17:19:58"
"iterative_logs","IMPLEMENTATION_PROGRESS.md","docs\archive\IMPLEMENTATION_PROGRESS.md","docs\archive","3.57","2026-01-31T20:29:41"
"iterative_logs","IMPROVEMENTS_IMPLEMENTATION_STATUS.md","docs\archive\IMPROVEMENTS_IMPLEMENTATION_STATUS.md","docs\archive","6.17","2026-01-31T20:29:41"
"iterative_logs","MASTER_PLAN_PROGRESS.md","docs\archive\MASTER_PLAN_PROGRESS.md","docs\archive","2.67","2026-01-31T20:29:41"
"iterative_logs","MESSAGE_HISTORY_COMPLETE.md","docs\archive\MESSAGE_HISTORY_COMPLETE.md","docs\archive","10.59","2026-01-31T20:29:41"
"iterative_logs","MOBILE_PHASE_1_COMPLETE.md","docs\archive\MOBILE_PHASE_1_COMPLETE.md","docs\archive","3.62","2026-01-31T20:29:41"
"iterative_logs","MOBILE_PHASE_2_PROGRESS.md","docs\archive\MOBILE_PHASE_2_PROGRESS.md","docs\archive","1.92","2026-01-31T20:29:41"
"iterative_logs","MOBILE_PHASES_COMPLETE.md","docs\archive\MOBILE_PHASES_COMPLETE.md","docs\archive","4.32","2026-01-31T20:29:41"
"iterative_logs","MOVE_1_FINAL_STATUS.md","docs\archive\MOVE_1_FINAL_STATUS.md","docs\archive","3.84","2026-01-31T20:29:41"
"iterative_logs","MOVE_1_PROGRESS.md","docs\archive\MOVE_1_PROGRESS.md","docs\archive","2.08","2026-01-31T20:29:41"
"iterative_logs","MOVE_1_PROGRESS_UPDATE.md","docs\archive\MOVE_1_PROGRESS_UPDATE.md","docs\archive","2.88","2026-01-31T20:29:41"
"iterative_logs","NAVIGATION_FOOTER_COMPLETE.md","docs\archive\NAVIGATION_FOOTER_COMPLETE.md","docs\archive","8.06","2026-01-31T20:29:41"
"iterative_logs","ONBOARDING_FINAL_SUMMARY.md","docs\archive\ONBOARDING_FINAL_SUMMARY.md","docs\archive","1.55","2026-01-31T20:29:41"
"iterative_logs","ONBOARDING_IMPLEMENTATION_COMPLETE.md","docs\archive\ONBOARDING_IMPLEMENTATION_COMPLETE.md","docs\archive","6.53","2026-01-23T08:53:07"
"iterative_logs","ONBOARDING_IMPLEMENTATION_PROGRESS.md","docs\archive\ONBOARDING_IMPLEMENTATION_PROGRESS.md","docs\archive","4.37","2026-01-23T08:29:50"
"iterative_logs","PHASE_4_5_COMPLETE_SUMMARY.md","docs\archive\PHASE_4_5_COMPLETE_SUMMARY.md","docs\archive","3.42","2026-01-23T03:57:54"
"iterative_logs","PROGRESS_UPDATE.md","docs\archive\PROGRESS_UPDATE.md","docs\archive","2.37","2026-01-31T20:29:41"
"iterative_logs","PURETASK_COMPLETE_TESTING_MASTER_GUIDE.md","docs\archive\PURETASK_COMPLETE_TESTING_MASTER_GUIDE.md","docs\archive","15.94","2026-01-31T20:29:41"
"iterative_logs","SOFT_LAUNCH_DAILY_TRACKER.md","docs\archive\SOFT_LAUNCH_DAILY_TRACKER.md","docs\archive","7.05","2026-01-31T20:29:41"
"iterative_logs","STYLING_FIXES_APPLIED.md","docs\archive\STYLING_FIXES_APPLIED.md","docs\archive","3.95","2026-01-31T20:29:41"
"iterative_logs","TERMINAL_STATUS_REPORT.md","docs\archive\TERMINAL_STATUS_REPORT.md","docs\archive","1.87","2026-01-31T20:29:41"
"iterative_logs","TEST_FIXES_APPLIED.md","docs\archive\TEST_FIXES_APPLIED.md","docs\archive","2.41","2026-01-31T20:29:41"
"iterative_logs","TESTING_COMPLETE_GUIDE.md","docs\archive\TESTING_COMPLETE_GUIDE.md","docs\archive","12.02","2026-01-31T20:29:41"
"iterative_logs","TESTING_COMPLETE_IMPLEMENTATION.md","docs\archive\TESTING_COMPLETE_IMPLEMENTATION.md","docs\archive","8.59","2026-01-31T20:29:41"
"iterative_logs","TESTING_COMPLETE_SUMMARY.md","docs\archive\TESTING_COMPLETE_SUMMARY.md","docs\archive","8.93","2026-01-31T20:29:41"
"iterative_logs","TESTING_FINAL_STATUS.md","docs\archive\TESTING_FINAL_STATUS.md","docs\archive","7.07","2026-01-31T20:29:41"
"iterative_logs","TESTING_IMPLEMENTATION_COMPLETE.md","docs\archive\TESTING_IMPLEMENTATION_COMPLETE.md","docs\archive","9.02","2026-01-31T20:29:41"
"iterative_logs","TESTING_IMPLEMENTATION_STATUS.md","docs\archive\TESTING_IMPLEMENTATION_STATUS.md","docs\archive","4.66","2026-01-31T20:29:41"
"iterative_logs","TESTING_REMAINING_TESTS_COMPLETE.md","docs\archive\TESTING_REMAINING_TESTS_COMPLETE.md","docs\archive","6.18","2026-01-31T20:29:41"
"iterative_logs","TESTING_STRATEGY_COMPLETE.md","docs\archive\TESTING_STRATEGY_COMPLETE.md","docs\archive","36.76","2026-01-31T20:29:41"
"iterative_logs","THE_COMPLETE_MANSION.md","docs\archive\THE_COMPLETE_MANSION.md","docs\archive","42.12","2026-01-31T20:29:41"
"iterative_logs","TYPESCRIPT_FIXES_SUMMARY.md","docs\archive\TYPESCRIPT_FIXES_SUMMARY.md","docs\archive","2.13","2026-01-31T20:29:41"
"iterative_logs","PURETASK_FINAL_BLUEPRINT_OVERVIEW.md","docs\blueprint\PURETASK_FINAL_BLUEPRINT_OVERVIEW.md","docs\blueprint","6.29","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_NEON_SETUP.md","docs\database\COMPLETE_NEON_SETUP.md","docs\database","6.59","2026-01-31T20:29:41"
"iterative_logs","NEON_FIX_INSTRUCTIONS.md","docs\database\NEON_FIX_INSTRUCTIONS.md","docs\database","3.15","2026-01-09T18:56:50"
"iterative_logs","GITHUB_SAVE_COMPLETE.md","docs\deployment\GITHUB_SAVE_COMPLETE.md","docs\deployment","1.94","2026-01-31T20:29:41"
"iterative_logs","ADMIN_USER_COMPLETE_GUIDE.md","docs\guides\ADMIN_USER_COMPLETE_GUIDE.md","docs\guides","21.73","2026-01-31T20:29:41"
"iterative_logs","CLEANER_USER_COMPLETE_GUIDE.md","docs\guides\CLEANER_USER_COMPLETE_GUIDE.md","docs\guides","30.85","2026-01-31T20:29:41"
"iterative_logs","CLIENT_USER_COMPLETE_GUIDE.md","docs\guides\CLIENT_USER_COMPLETE_GUIDE.md","docs\guides","27.09","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_PLATFORM_ANALYSIS.md","docs\guides\COMPLETE_PLATFORM_ANALYSIS.md","docs\guides","31.67","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_UNDERSTANDING_SUMMARY.md","docs\guides\COMPLETE_UNDERSTANDING_SUMMARY.md","docs\guides","19.01","2026-01-31T20:29:41"
"iterative_logs","JOB_STATUS_MACHINE.md","docs\specs\job\JOB_STATUS_MACHINE.md","docs\specs\job","3.42","2026-01-31T20:29:41"
"iterative_logs","ALL_TASKS_COMPLETE.md","docs\status-reports\ALL_TASKS_COMPLETE.md","docs\status-reports","1.76","2026-01-31T20:29:41"
"iterative_logs","COMPLETE_ORGANIZATION_SUMMARY.md","docs\status-reports\COMPLETE_ORGANIZATION_SUMMARY.md","docs\status-reports","7.18","2026-01-31T20:29:41"
"iterative_logs","EXECUTION_COMPLETE.md","docs\status-reports\EXECUTION_COMPLETE.md","docs\status-reports","2.33","2026-01-31T20:29:41"
"iterative_logs","FINAL_EXECUTION_STATUS.md","docs\status-reports\FINAL_EXECUTION_STATUS.md","docs\status-reports","5.52","2026-01-31T20:29:41"
"iterative_logs","FINAL_PRE_LAUNCH_SUMMARY.md","docs\status-reports\FINAL_PRE_LAUNCH_SUMMARY.md","docs\status-reports","7.31","2026-01-31T20:29:41"
"iterative_logs","MASTER_STATUS.md","docs\status-reports\MASTER_STATUS.md","docs\status-reports","11.58","2026-01-31T20:29:41"
"iterative_logs","PRE_LAUNCH_COMPLETE_SUMMARY.md","docs\status-reports\PRE_LAUNCH_COMPLETE_SUMMARY.md","docs\status-reports","13.97","2026-01-31T20:29:41"
"iterative_logs","PRE_LAUNCH_OPTIMIZATION_PROGRESS.md","docs\status-reports\PRE_LAUNCH_OPTIMIZATION_PROGRESS.md","docs\status-reports","7.17","2026-01-31T20:29:41"
"iterative_logs","BUTTONS_FIXED_DEMO_MODE.md","docs\testing\BUTTONS_FIXED_DEMO_MODE.md","docs\testing","3.85","2026-01-31T20:29:41"
"iterative_logs","QUICK_FIX_TEST_PAGE_STYLES.md","docs\testing\QUICK_FIX_TEST_PAGE_STYLES.md","docs\testing","4.24","2026-01-31T20:29:41"
"iterative_logs","TAILWIND_FIX_APPLIED.md","docs\testing\TAILWIND_FIX_APPLIED.md","docs\testing","1.91","2026-01-31T20:29:41"
"iterative_logs","V3_COMPLETE_OVERVIEW.md","docs\V3_COMPLETE_OVERVIEW.md","docs","17.84","2026-01-31T20:29:41"
"iterative_logs","V3_FINAL_STATUS.md","docs\V3_FINAL_STATUS.md","docs","3.25","2026-01-31T20:29:41"
"iterative_logs","V3_IMPLEMENTATION_COMPLETE.md","docs\V3_IMPLEMENTATION_COMPLETE.md","docs","6.34","2026-01-31T20:29:41"
"iterative_logs","V4_IMPLEMENTATION_COMPLETE.md","docs\V4_IMPLEMENTATION_COMPLETE.md","docs","5.25","2026-01-31T20:29:41"
"iterative_logs","FINAL_PLATFORM_CAPABILITIES.md","product\FINAL_PLATFORM_CAPABILITIES.md","product","0","2026-01-31T20:29:41"
"iterative_logs","WORKER_STATUS.md","src\workers\WORKER_STATUS.md","src\workers","7.82","2026-01-31T20:29:41"
"reference_docs","README.md",".githooks\README.md",".githooks","0.29","2026-01-31T20:23:55"
"reference_docs","copilot-instructions.md",".github\copilot-instructions.md",".github","4.25","2025-12-21T02:29:21"
"reference_docs","README.md","DB\migrations\README.md","DB\migrations","4.27","2025-12-21T00:53:32"
"reference_docs","README_CONSOLIDATED_SCHEMAS.md","DB\migrations\README_CONSOLIDATED_SCHEMAS.md","DB\migrations","5.22","2026-01-06T13:46:14"
"reference_docs","API_REFERENCE.md","docs\_active\architecture\API_REFERENCE.md","docs\_active\architecture","15.72","2026-01-31T20:29:41"
"reference_docs","ARCHITECTURE.md","docs\_active\architecture\ARCHITECTURE.md","docs\_active\architecture","0.1","2025-12-21T00:53:32"
"reference_docs","ARCHITECTURE_SUMMARY.md","docs\_active\architecture\ARCHITECTURE_SUMMARY.md","docs\_active\architecture","3.84","2025-12-21T04:16:24"
"reference_docs","architecture-what-lives-where.md","docs\_active\architecture\architecture-what-lives-where.md","docs\_active\architecture","11.03","2025-12-21T04:16:40"
"reference_docs","CAPABILITIES.md","docs\_active\architecture\CAPABILITIES.md","docs\_active\architecture","14.71","2026-01-31T20:29:41"
"reference_docs","PURETASK_MASTER_GUIDE.md","docs\_active\architecture\PURETASK_MASTER_GUIDE.md","docs\_active\architecture","55.79","2025-12-21T00:53:32"
"reference_docs","DATABASE_SETUP.md","docs\_active\deployment\DATABASE_SETUP.md","docs\_active\deployment","2.58","2025-12-21T00:53:32"
"reference_docs","ENV_TEMPLATE.md","docs\_active\deployment\ENV_TEMPLATE.md","docs\_active\deployment","4.02","2025-12-21T00:53:32"
"reference_docs","NEON_SETUP_GUIDE.md","docs\_active\deployment\NEON_SETUP_GUIDE.md","docs\_active\deployment","6.89","2025-12-21T00:53:32"
"reference_docs","STAGING_ENVIRONMENT.md","docs\_active\deployment\STAGING_ENVIRONMENT.md","docs\_active\deployment","6.96","2025-12-21T00:53:32"
"reference_docs","DATABASE_CONNECTION_TROUBLESHOOTING.md","docs\_active\development\DATABASE_CONNECTION_TROUBLESHOOTING.md","docs\_active\development","3.02","2025-12-21T00:53:32"
"reference_docs","DEVELOPMENT_WORKFLOW_GUIDE.md","docs\_active\development\DEVELOPMENT_WORKFLOW_GUIDE.md","docs\_active\development","14.67","2026-01-31T20:29:41"
"reference_docs","MIGRATION_BEST_PRACTICES.md","docs\_active\development\MIGRATION_BEST_PRACTICES.md","docs\_active\development","6.25","2025-12-21T00:53:32"
"reference_docs","MIGRATION_GUIDE.md","docs\_active\development\MIGRATION_GUIDE.md","docs\_active\development","7.47","2025-12-21T00:53:32"
"reference_docs","POSTMAN_API_KEY_SETUP.md","docs\_active\development\POSTMAN_API_KEY_SETUP.md","docs\_active\development","2.02","2026-01-31T20:29:41"
"reference_docs","QUICK_REFERENCE_COMMANDS.md","docs\_active\development\QUICK_REFERENCE_COMMANDS.md","docs\_active\development","4.28","2025-12-21T07:16:18"
"reference_docs","SETUP_INSTRUCTIONS.md","docs\_active\development\SETUP_INSTRUCTIONS.md","docs\_active\development","2.99","2025-12-21T00:53:32"
"reference_docs","WINDOWS_SETUP.md","docs\_active\development\WINDOWS_SETUP.md","docs\_active\development","6.52","2025-12-21T00:53:32"
"reference_docs","DEPLOYMENT_CHECKLIST.md","docs\_active\operations\DEPLOYMENT_CHECKLIST.md","docs\_active\operations","21.28","2025-12-21T00:53:32"
"reference_docs","N8N_SETUP_COMPLETE_CHECKLIST.md","docs\_active\operations\N8N_SETUP_COMPLETE_CHECKLIST.md","docs\_active\operations","5.7","2025-12-21T07:29:36"
"reference_docs","N8N_WORKFLOW_IMPLEMENTATION_GUIDE.md","docs\_active\operations\N8N_WORKFLOW_IMPLEMENTATION_GUIDE.md","docs\_active\operations","12.96","2025-12-21T07:21:08"
"reference_docs","NOTIFICATION_SERVICE_MIGRATION.md","docs\_active\operations\NOTIFICATION_SERVICE_MIGRATION.md","docs\_active\operations","7.88","2026-01-31T20:29:41"
"reference_docs","SECURITY_AUDIT_WORKFLOW_GUIDE.md","docs\_active\operations\SECURITY_AUDIT_WORKFLOW_GUIDE.md","docs\_active\operations","7.87","2025-12-21T06:00:55"
"reference_docs","WORKER_SCHEDULE.md","docs\_active\operations\WORKER_SCHEDULE.md","docs\_active\operations","7.51","2026-01-31T20:29:41"
"reference_docs","JWT_AUTHENTICATION_GUIDE.md","docs\_archive\cleanup-2026-01-29\JWT_AUTHENTICATION_GUIDE.md","docs\_archive\cleanup-2026-01-29","14.2","2025-12-27T15:09:12"
"reference_docs","N8N_MCP_INTEGRATION.md","docs\_archive\cleanup-2026-01-29\N8N_MCP_INTEGRATION.md","docs\_archive\cleanup-2026-01-29","8.17","2025-12-27T16:41:38"
"reference_docs","README.md","docs\_archive\cleanup-2026-01-29\README.md","docs\_archive\cleanup-2026-01-29","1.29","2026-01-29T06:58:53"
"reference_docs","SERVER_STARTUP_ISSUES_ANALYSIS.md","docs\_archive\cleanup-2026-01-29\SERVER_STARTUP_ISSUES_ANALYSIS.md","docs\_archive\cleanup-2026-01-29","4.55","2026-01-27T23:25:46"
"reference_docs","STRIPE_TESTING.md","docs\_archive\cleanup-2026-01-29\STRIPE_TESTING.md","docs\_archive\cleanup-2026-01-29","5.56","2025-12-21T00:53:32"
"reference_docs","TROUBLESHOOTING.md","docs\_archive\cleanup-2026-01-29\TROUBLESHOOTING.md","docs\_archive\cleanup-2026-01-29","5.15","2026-01-28T17:58:37"
"reference_docs","V1_COMPLETE_SUMMARY.md","docs\_archive\cleanup-2026-01-29\V1_COMPLETE_SUMMARY.md","docs\_archive\cleanup-2026-01-29","3.93","2025-12-21T00:53:32"
"reference_docs","V2_EXECUTION_COMPLETE.md","docs\_archive\cleanup-2026-01-29\V2_EXECUTION_COMPLETE.md","docs\_archive\cleanup-2026-01-29","5.95","2025-12-21T00:53:32"
"reference_docs","V2_EXECUTION_PLAN.md","docs\_archive\cleanup-2026-01-29\V2_EXECUTION_PLAN.md","docs\_archive\cleanup-2026-01-29","6.67","2025-12-21T00:53:32"
"reference_docs","V3_COMPLETE_SUMMARY.md","docs\_archive\cleanup-2026-01-29\V3_COMPLETE_SUMMARY.md","docs\_archive\cleanup-2026-01-29","4.4","2025-12-21T00:53:32"
"reference_docs","V3_DEPLOYMENT_COMPLETE.md","docs\_archive\cleanup-2026-01-29\V3_DEPLOYMENT_COMPLETE.md","docs\_archive\cleanup-2026-01-29","3.92","2025-12-21T00:53:32"
"reference_docs","V3_DEPLOYMENT_VERIFICATION.md","docs\_archive\cleanup-2026-01-29\V3_DEPLOYMENT_VERIFICATION.md","docs\_archive\cleanup-2026-01-29","7.73","2025-12-21T00:53:32"
"reference_docs","V3_NEXT_STEPS.md","docs\_archive\cleanup-2026-01-29\V3_NEXT_STEPS.md","docs\_archive\cleanup-2026-01-29","6.55","2025-12-21T00:53:32"
"reference_docs","V3_NEXT_STEPS_COMPLETE.md","docs\_archive\cleanup-2026-01-29\V3_NEXT_STEPS_COMPLETE.md","docs\_archive\cleanup-2026-01-29","4.21","2025-12-21T00:53:32"
"reference_docs","V4_DEPLOYMENT_COMPLETE.md","docs\_archive\cleanup-2026-01-29\V4_DEPLOYMENT_COMPLETE.md","docs\_archive\cleanup-2026-01-29","5.9","2025-12-21T00:53:32"
